52 383 194 21835 428444 36026 853426
66 76 101 21837 428448 58707 1720761
13 157 71 21856 429056 26642 553005
5 155 65 22099 434305 87568 2843186
82 376 269 22101 434307 47840 1316093
28 303 87 22131 434762 156109 6337685
3 392 364 22299 438505 36267 861176
12 279 184 22338 439661 37946 916807
30 326 103 22346 439834 49436 1391434
264 383 215 22385 440848 59711 1752952
110 252 216 22480 443047 28626 613970
61 320 392 22588 445195 26242 537597
161 410 366 22669 447108 45895 1248738
246 335 336 22823 450972 23569 468155
101 215 96 22891 452540 35084 821843
78 111 119 23055 455850 56399 1634816
75 158 136 23149 457575 57717 1685676
39 248 64 23184 458173 76449 2390861
108 286 200 23207 458554 25915 530645
275 295 321 23224 458846 78011 2461583
183 315 128 23252 459711 62349 1842415
331 419 521 23316 461159 27690 587951
247 456 417 23569 468155 87254 2829649
204 308 410 23624 469867 412297 23172074
78 160 146 23669 471641 31564 712169
340 376 616 24056 481327 37400 895982
221 407 233 24153 483638 88171 2870131
242 265 167 24163 483823 229859 10685008
138 146 205 24189 484735 43808 1152614
49 91 85 24239 486049 31851 721800
42 178 48 24351 488813 39121 966833
142 235 213 24395 490133 43590 1145734
280 404 332 24421 490706 52596 1494432
115 336 222 24481 492494 27520 582666
197 430 301 24579 495365 55658 1608859
209 442 343 24659 497755 28396 607976
13 196 113 24723 499877 45308 1213724
49 125 55 24754 500541 27959 597954
24 129 100 24778 501095 36059 854419
274 311 242 24926 504530 25075 508846
234 398 260 24933 504678 29944 653924
134 402 294 24987 506274 322764 16826441
291 410 461 24989 506275 46114 1258954
119 133 97 25015 507343 49325 1386216
221 482 335 25075 508846 84540 2736363
360 393 180 25216 514959 32298 735652
235 357 220 25452 521495 32343 737130
143 332 127 25498 522676 31847 721761
126 404 160 25535 523787 108980 3907880
104 165 114 25616 525555 27329 577531
97 442 134 25867 530040 59127 1734996
312 461 364 25915 530645 26115 534485
28 35 56 25996 532242 140968 5475105
424 494 413 26115 534485 33086 763664
